Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-10-12,65,72.1,60,70,59867551
2020-10-13,72,80,71.08,80,18452974
2020-10-14,84,90.3,71.25,75.96,16731591
2020-10-15,76,80,71.52,79.22,6235974
2020-10-16,80,85.44,79.25,81.45,15480831
2020-10-19,81.45,83.62,79.8,83.4,3205087
2020-10-20,83.45,85.6,83.33,85,3048042
2020-10-21,85.99,85.99,82.12,84.17,2734889
2020-10-22,83.84,89,83.72,85.37,5133134
2020-10-23,86.37,89,85.43,89,30874654
2020-10-26,89,92.86,85.5,91.7,2752483
2020-10-27,91.6,98.78,90.4,94.64,3996495
2020-10-28,94.64,96.55,82.1,87.67,4158058
2020-10-29,88,90.37,84.63,85.94,1854893
2020-10-30,85,86.8,80,80.45,1850831
2020-11-02,81.2,85.44,81.18,84.17,2942285
2020-11-03,85.4,85.5,82.12,83.69,1908419
2020-11-04,83,87.2,82.5,86.59,2026196
2020-11-05,88.3,89.6,86.7,87.56,1296652
2020-11-06,88,93,87.87,92.13,2860026
2020-11-09,94,95.3,84.6,90.61,4577919
2020-11-10,89,89,82.62,82.75,4475543
2020-11-12,84.41,84.6,79.45,79.5,4993858
2020-11-13,79.95,80.36,74.7,75.88,3626856
2020-11-16,76.05,76.48,72.11,72.39,2730979
2020-11-17,71.2,71.44,67.4,67.89,4080037
2020-11-18,67.8,69.99,65.3,67.3,3151660
2020-11-19,67.67,71.9,67.45,71.9,2647711
2020-11-20,73.29,79.45,72.74,78.32,3325301
2020-11-23,79.6,81.62,75,76.6,2947478
2020-11-24,76.6,79.2,73.46,78.27,2364059
2020-11-25,75.5,79.34,75.02,79.34,2028319
2020-11-26,77,77.32,74,74.2,1938984
2020-11-27,72.68,76,70.7,75,1889733
2020-11-30,75,77.6,74.32,77.07,3324698
2020-12-01,78.5,78.5,75.01,75.01,1038188
2020-12-02,74.2,75.87,74,75.2,1106902
2020-12-03,75.6,76.4,74.8,74.8,1437814
2020-12-04,74.8,75.86,74.6,75.5,2174870
2020-12-07,75.5,75.5,72.6,74.45,2401460
2020-12-08,75,78.26,73.91,78.26,1242364
2020-12-09,78.2,78.35,75.5,75.57,1295897
2020-12-10,76.04,78.96,75.86,78.7,1165328
2020-12-11,78.65,79.8,77.3,79.8,1352568
2020-12-14,80,84.7,79.31,83.65,1868710
2020-12-15,83.65,86.4,83.01,84.92,1833526
2020-12-16,85.5,88.59,84.2,85,1336367
2020-12-17,86,87.78,85.53,85.95,1289064
2020-12-18,87,88,84.49,86.1,8813180
2020-12-21,86.5,86.99,79.05,81.05,1457366
2020-12-22,81.1,85.65,81.1,83.04,915077
2020-12-23,83.67,85.88,83.21,85.69,583655
2020-12-28,85.99,86.76,84.49,86.55,590450
2020-12-29,87.1,87.35,85.02,85.96,511731
2020-12-30,85.32,85.9,84.56,84.7,775111
2021-01-04,84,85.84,83.4,84.4,1189833
2021-01-05,84,87.29,83.8,85.99,1270249
2021-01-07,86.85,87.5,82.8,82.93,1411442
2021-01-08,83.16,83.89,78.35,80.59,1599933
2021-01-11,81.75,82.84,79.1,80.5,895247
2021-01-12,81.3,82.3,79.34,80,662230
2021-01-13,80.4,80.65,77.5,78.4,1008032
2021-01-14,78,78.99,77.8,78.48,769410
2021-01-15,79,79.5,75.15,76.75,1172286
2021-01-18,76.9,77.89,75.65,77.79,432646
2021-01-19,77.84,77.97,74.4,75,1327618
2021-01-20,75,75.29,72.1,73.65,1263333
2021-01-21,73.71,75.55,72.78,73.13,1142721
2021-01-22,73.85,73.85,72.33,72.7,1903288
2021-01-25,72.3,73.32,70.4,70.65,1300410
2021-01-26,70.7,75.86,70,74.98,3897708
2021-01-27,75.99,77.48,69.04,70.54,5390632
2021-01-28,70.54,71.94,67.35,71.63,2037106
2021-01-29,71.63,74,70.46,73.5,2239290
2021-02-01,73.8,73.95,69.75,72,1972848
2021-02-02,72.36,72.66,71.66,72.03,850283
2021-02-03,72.09,72.45,70.44,71.11,1681277
2021-02-04,71,71.48,69.25,69.7,654911
2021-02-05,69.75,71.11,69.58,70.31,586445
2021-02-08,70.24,70.57,68.15,68.2,474649
2021-02-09,69,69.2,67.76,68.35,652221
2021-02-10,68.5,68.88,65.05,65.05,1887257
2021-02-11,65.5,69.78,65.15,68.5,3060064
2021-02-12,69.1,71.56,68.85,69,1831647
2021-02-15,69.7,70.31,68.36,68.9,2112956
2021-02-16,70,71.07,69.5,69.5,1391523
2021-02-17,70.26,70.3,68.9,69.05,2515956
2021-02-18,69.1,69.47,68.43,68.63,1021619
2021-02-19,69.03,69.7,67.5,67.5,3765024
2021-02-22,67,68.09,66.81,67,1363824
2021-02-23,67.3,67.3,64.24,64.65,1592226
2021-02-24,65,66.7,64.5,65,1286295
2021-02-25,65.01,65.65,64.38,64.45,1034701
2021-02-26,64.1,64.43,61.5,64.32,1624343
2021-03-01,65,65.35,62.5,63.07,1347372
2021-03-02,63.95,67.46,63.19,66.76,3120360
2021-03-03,67.5,68.2,65.02,66.46,2887525
2021-03-04,67,67.38,63.69,64.74,3554548
2021-03-05,63.72,64.35,63.46,64,2512451
2021-03-08,64.1,65,63.03,63.54,1529124
2021-03-09,63.2,65.3,63.03,64.5,1587533
2021-03-10,64.9,66.15,64.31,65,887581
2021-03-11,65.5,66.2,64.65,64.77,883473
2021-03-12,65.5,65.5,64.25,64.67,1065413
2021-03-15,64.6,64.96,63.44,63.65,1217488
2021-03-16,64,64.79,63.18,63.63,877016
2021-03-17,60,60.3,58.1,59.76,18032806
2021-03-18,60,60.69,58.59,59.97,6259063
2021-03-19,59.99,60.04,59.43,59.64,7728144
2021-03-22,60,60.1,58.5,58.8,16046948
2021-03-23,58.73,59.16,56.3,56.8,4003505
2021-03-24,56.59,56.59,53.41,54.5,4841732
2021-03-25,54.98,55.5,51.96,52.86,4048175
2021-03-26,53.5,53.7,51.9,52.75,2498746
2021-03-29,53.4,54.4,52.05,52.66,3384592
2021-03-30,53.3,54.72,52.8,54.57,2390920
2021-03-31,55,55.67,53.64,55.57,3804694
2021-04-01,56.45,56.7,55.6,56.06,3008664
2021-04-06,57.04,57.6,56.6,57.5,1847719
2021-04-07,57.35,57.38,55.8,56.56,1648173
2021-04-08,56.9,56.9,55.81,56.17,1033468
2021-04-09,56.44,59.03,56.01,58.5,2189710
2021-04-12,58.3,58.4,56.52,57.24,958936
2021-04-13,57.54,57.89,56.7,57.38,853514
2021-04-14,57.91,59.25,57.71,59.25,1267067
2021-04-15,59.25,59.44,57.8,58.34,1011597
2021-04-16,58,58.48,57.16,57.16,1110516
2021-04-19,57.15,58.31,55.78,56.22,810233
2021-04-20,56.24,56.92,54.16,55,1296422
2021-04-21,55,55.96,54.22,54.37,1246621
2021-04-22,54.9,56.78,54.65,56.2,1458275
2021-04-23,56.2,56.68,55.49,56.5,1354451
2021-04-26,56.8,57.18,55.91,56.6,927036
